distance_m,scenario,rssi_dbm
38.0,疏林,-75.169
40.0,疏林,-78.423
42.0,疏林,-80.001
44.0,疏林,-76.66
46.0,疏林,-79.462
48.0,疏林,-82.805
50.0,疏林,-81.558
60.0,疏林,-85.0
65.0,疏林,-86.72
70.0,疏林,-86.684
75.0,疏林,-83.271
80.0,疏林,-82.462
85.0,疏林,-86.927
90.0,疏林,-90.473
95.0,疏林,-89.818
100.0,疏林,-89.247
110.0,疏林,-89.64
120.0,疏林,-89.909
130.0,疏林,-91.517
140.0,疏林,-92.417
150.0,疏林,-93.841
160.0,疏林,-95.672
170.0,疏林,-96.527
180.0,疏林,-92.813
190.0,疏林,-99.495
200.0,疏林,-100.182
210.0,疏林,-98.441
220.0,疏林,-100.641
230.0,疏林,-100.83
240.0,疏林,-99.982
250.0,疏林,-100.472
260.0,疏林,-98.278
270.0,疏林,-100.811
280.0,疏林,-98.84
290.0,疏林,-100.043
300.0,疏林,-102.644
310.0,疏林,-106.596
320.0,疏林,-100.783
330.0,疏林,-103.028
340.0,疏林,-108.686
350.0,疏林,-101.963
360.0,疏林,-104.309
370.0,疏林,-105.727
380.0,疏林,-107.045
390.0,疏林,-104.501
400.0,疏林,-106.149
410.0,疏林,
420.0,疏林,
430.0,疏林,-106.526
440.0,疏林,
450.0,疏林,-109.013
460.0,疏林,
470.0,疏林,
480.0,疏林,
490.0,疏林,
500.0,疏林,
1.0,空旷草地,-28.64
2.0,空旷草地,-33.547
4.0,空旷草地,-40.704
6.0,空旷草地,-44.566
8.0,空旷草地,-45.786
10.0,空旷草地,-53.265
12.0,空旷草地,-54.417
14.0,空旷草地,-57.752
16.0,空旷草地,-57.567
18.0,空旷草地,-57.465
20.0,空旷草地,-61.035
22.0,空旷草地,-61.63
24.0,空旷草地,-67.237
26.0,空旷草地,-64.529
28.0,空旷草地,-67.139
30.0,空旷草地,-62.76
32.0,空旷草地,-64.591
34.0,空旷草地,-64.557
36.0,空旷草地,-66.372
38.0,空旷草地,-65.17
40.0,空旷草地,-65.17
42.0,空旷草地,-67.187
44.0,空旷草地,-67.84
46.0,空旷草地,-67.703
48.0,空旷草地,-69.291
50.0,空旷草地,-70.086
60.0,空旷草地,-73.0
65.0,空旷草地,-73.959
70.0,空旷草地,-70.641
75.0,空旷草地,-74.532
80.0,空旷草地,-70.957
85.0,空旷草地,-75.505
90.0,空旷草地,-77.591
95.0,空旷草地,-80.446
100.0,空旷草地,-78.332
110.0,空旷草地,-76.976
120.0,空旷草地,-77.807
130.0,空旷草地,-81.309
140.0,空旷草地,-78.682
150.0,空旷草地,-75.742
160.0,空旷草地,-81.98
170.0,空旷草地,-84.321
180.0,空旷草地,-79.727
190.0,空旷草地,-83.282
200.0,空旷草地,-83.605
210.0,空旷草地,-81.659
220.0,空旷草地,-83.829
230.0,空旷草地,-90.098
240.0,空旷草地,-87.209
250.0,空旷草地,-83.726
260.0,空旷草地,-87.144
270.0,空旷草地,-86.838
280.0,空旷草地,-83.731
290.0,空旷草地,-87.155
300.0,空旷草地,-87.287
310.0,空旷草地,-86.034
320.0,空旷草地,-85.258
330.0,空旷草地,-86.997
340.0,空旷草地,-87.864
350.0,空旷草地,-83.537
360.0,空旷草地,-88.306
370.0,空旷草地,-91.768
380.0,空旷草地,-89.693
390.0,空旷草地,-90.854
400.0,空旷草地,-94.045
410.0,空旷草地,-93.162
420.0,空旷草地,-88.644
430.0,空旷草地,-89.882
440.0,空旷草地,-96.392
450.0,空旷草地,-95.636
460.0,空旷草地,
470.0,空旷草地,-93.406
480.0,空旷草地,
490.0,空旷草地,
500.0,空旷草地,-90.356
