time_h,Tx1,Tx2,Tx3,Tx4,Tx5
12.75,-31.01,-68.96,-75.41,-73.78,-82.11
13.00,-26.37,-67.72,-76.81,-79.90,-82.61
13.25,-30.34,-63.43,-67.57,-81.80,-81.85
13.50,-31.69,-66.26,-75.62,-86.50,-83.97
13.75,-27.13,-64.62,-78.54,-76.12,-78.54
14.00,-28.13,-64.30,-71.49,-77.96,-85.37
14.25,-27.89,-69.52,-72.86,-84.86,-82.83
14.50,-24.49,-66.08,-70.41,-72.78,-81.59
14.75,-30.52,-64.29,-77.67,-79.88,-81.38
15.00,-27.56,-67.55,-75.27,-79.71,-79.78
15.25,-26.86,-66.36,-73.80,-78.24,-90.67
15.50,-30.82,-70.51,-73.69,-74.75,-85.20
15.75,-28.16,-66.94,-73.64,-74.73,-86.91
16.00,-30.78,-64.77,-78.05,-80.03,-89.25
16.25,-27.21,-69.34,-77.21,-75.57,-85.01
16.50,-24.85,-65.30,-73.32,-83.21,-87.56
16.75,-28.67,-72.46,-74.60,-77.64,-89.71
17.00,-30.47,-66.62,-75.54,-81.73,-87.22
17.25,-29.00,-68.35,-78.37,-79.90,-84.24
17.50,-28.86,-63.58,-78.26,-84.42,-91.37
17.75,-29.10,-72.55,-72.37,-85.11,-91.89
18.00,-27.86,-65.04,-72.43,-81.02,-83.91
18.25,-29.29,-69.24,-75.95,-86.56,-88.59
18.50,-33.39,-73.98,-77.44,-90.29,-89.75
18.75,-31.78,-70.91,-78.78,-82.66,-92.25
19.00,-29.15,-77.85,-73.04,-86.54,-84.65
19.25,-27.87,-76.75,-80.37,-82.31,-91.26
19.50,-27.64,-71.85,-80.29,-80.29,-88.77
19.75,-31.67,-78.36,-81.87,-86.81,-89.69
20.00,-32.36,-74.21,-80.38,-81.12,-92.00
20.25,-28.19,-72.70,-72.77,-82.73,-89.18
20.50,-30.30,-75.65,-80.37,-76.63,-92.31
20.75,-28.00,-76.35,-78.59,-85.94,-89.72
21.00,-31.71,-77.90,-77.51,-83.58,-88.74
21.25,-29.80,-80.59,-79.58,-94.33,-91.52
21.50,-28.80,-76.00,-79.74,-94.80,-91.50
21.75,-29.28,-76.24,-80.94,-87.55,-90.52
22.00,-26.32,-78.98,-82.85,-92.92,-88.11
22.25,-33.47,-78.79,-78.28,-95.08,-96.26
22.50,-31.33,-79.68,-83.24,-88.72,-95.35
22.75,-29.05,-71.15,-84.27,-91.11,-97.22
23.00,-34.92,-79.50,-74.64,-86.37,-92.27
23.25,-31.61,-77.35,-88.17,-91.64,-97.68
23.50,-34.40,-76.92,-80.79,-91.17,-90.17
23.75,-29.62,-80.27,-82.64,-95.52,-97.32
