time_h,Tx1,Tx2,Tx3,Tx4,Tx5
19.25,-26.02,-78.25,-84.55,-96.44,-98.26
19.50,-30.70,-79.77,-87.26,-88.95,-108.94
19.75,-32.72,-81.80,-85.88,-95.44,-98.45
20.00,-31.50,-78.85,-83.38,-99.15,-98.51
20.25,-31.95,-82.08,-92.37,-95.80,-100.54
20.50,-31.20,-82.18,-92.01,-98.46,-108.65
20.75,-28.71,-83.21,-86.77,-95.71,-107.96
21.00,-30.22,-83.20,-90.28,-91.10,-100.32
21.25,-29.82,-85.29,-81.97,-102.23,-102.33
21.50,-33.82,-83.92,-84.73,-90.65,-103.95
21.75,-29.33,-81.34,-88.76,-90.09,-103.80
22.00,-33.89,-80.00,-83.91,-98.77,-107.61
22.25,-30.62,-79.34,-86.29,-91.33,-109.87
22.50,-33.78,-78.46,-85.63,-100.85,-113.15
22.75,-33.29,-84.57,-87.51,-94.12,-105.23
23.00,-31.70,-83.69,-84.52,-97.84,-102.36
23.25,-33.30,-89.03,-88.05,-94.02,-104.81
23.50,-29.11,-80.56,-90.61,-99.59,-107.54
23.75,-37.71,-80.66,-93.24,-95.24,-103.85
